title,Author,time,date,details
Oil prices sink to lowest in over 4 yrs as US tariffs take effect,Pragya Swastik, 11:03 am,"Wednesday, 9 April 2025","Oil prices dropped to their lowest in more than four years, with Brent futures losing $2.38, or 3.79%, to $60.44 a barrel on Wednesday. Oil prices plummeted on looming demand concerns and potential supply surplus as the US' reciprocal tariffs came into effect. The US' 104% tariffs on China also took effect amid an escalating tariff war between the countries."
Ignore things said by microscopic minority: Gadkari on Marathi row,Ankit Tiwari, 10:53 am,"Wednesday, 9 April 2025","Union Minister Nitin Gadkari reacted to the incidents of violence in Maharashtra over the Marathi language at the News18 Rising Bharat Summit. In an apparent dig at Maharashtra Navnirman Sena (MNS) workers, Gadkari said ""undue importance is often given to provocations by a 'microscopic minority'"". ""We shouldn't pay attention to what such a small section of society says,"" he added."
Ektaa Kapoor hints at Smriti Irani's return in 'Kyunki Saas Bhi...' reboot,Medhaa Gupta, 10:44 am,"Wednesday, 9 April 2025","Producer Ektaa Kapoor has confirmed a reboot of the iconic TV series 'Kyunki Saas Bhi Kabhi Bahu Thi' and also hinted at the possibility of actress-politician Smriti Irani reprising her role as Tulsi Virani, Hindustan Times reported. ""We are bringing politics into entertainment, or better, a politician into entertainment,"" Ektaa said while talking about Tulsi's character."
RBI cuts GDP growth forecast for FY26 by 20 bps to 6.5%,Mansi Agarwal, 10:37 am,"Wednesday, 9 April 2025","RBI Governor Sanjay Malhotra on Wednesday reduced the GDP growth estimate for the current financial year by 20 basis points to 6.5% due to policy and trade uncertainties. On a quarterly basis, real GDP is estimated to be 6.5% in Q1, 6.7% in Q2, 6.6% in Q3 and 6.3% in Q4. RBI expects inflation to be at 4% in FY26. "
"US earning $2 billion a day from global tariffs, says Trump",Sakshita Khosla, 10:29 am,"Wednesday, 9 April 2025","US President Donald Trump has said that America is earning $2 billion (around ₹17,323 crore) a day from tariffs imposed by him on other countries. ""We're doing very well in making...tailored deals,"" said Trump, adding that Japan, South Korea and other countries are trying to make deals after he imposed sweeping tariffs. Trump called the tariffs ""legendary""."
"Miss England pageant scraps swimwear round, contestants to be judged on CPR skills instead",Daisy Mowke, 10:25 am,"Wednesday, 9 April 2025","The Miss World England pageant is scrapping its 97-year-old swimwear round. Contestants will now be judged on their ability to perform chest compressions and mouth-to-mouth resuscitation, as part of the new 'CPR Queen' challenge. The current Miss World England, Milla Magee, pushed for this change. She became an advocate for CPR education after a tragedy in her family."
"Kunal Kamra turns down offer to be part of Salman Khan's 'Bigg Boss', shares chat",Daisy Mowke, 10:18 am,"Wednesday, 9 April 2025","Comedian Kunal Kamra has claimed that he was approached to participate in the upcoming season of the reality show Bigg Boss, which is hosted by actor Salman Khan. Taking to Instagram, Kamra shared a purported screenshot of a conversation with a casting director. ""I would much rather check into a mental hospital,"" he replied. "
Video tailored: BJP as Moitra says fish shops shut at Delhi market,Ankit Tiwari, 10:14 am,"Wednesday, 9 April 2025","TMC MP Mahua Moitra claimed that fish traders in Delhi's CR Park were threatened for running their business next to a temple in the area, and their shops were forcibly shut. She also shared a purported video of the incident. Calling the video ""tailored"", Delhi BJP president Virendra Sachdeva said, ""CR Park fish traders have always respected temples."""
US will take back Panama Canal from Chinese influence: Hegseth,Disha Jana, 10:09 am,"Wednesday, 9 April 2025","US Defense Secretary Pete Hegseth on Tuesday said the US will ""take back"" the Panama Canal from Chinese influence. Hegseth, who made the remark while on a trip to Panama, also vowed to deepen security cooperation with Panamanian security forces. He said China would not be allowed to “weaponise"" the canal by using Chinese firms' commercial relationships for espionage purposes."
2 teens convicted of 80-year-old Indian-origin man's murder in UK,Medhaa Gupta, 10:06 am,"Wednesday, 9 April 2025","Two teenagers have been found guilty of manslaughter for the death of an 80-year-old Indian-origin man in UK's Leicester. Bhim Sen Kohli died after he was allegedly punched, kicked and racially abused while walking his dog in a park last year. While the then 14-year-old boy attacked Kohli, the then 12-year-old girl encouraged the attack and filmed it."
RBI cuts repo rate by another 25 bps,Pragya Swastik, 10:06 am,"Wednesday, 9 April 2025","Reserve Bank of India's (RBI) Governor Sanjay Malhotra on Wednesday announced Monetary Policy Committee's (MPC) decision to cut the repo rate by another 25 bps to 6%. In February 2025, repo rate was cut by 25 bps to 6.25% in the first reduction since May 2020. Several economists believe RBI will bring repo rate down to 5.5% before 2025 ends."
Trump's 26% tariffs on India come into effect,Pragya Swastik, 09:57 am,"Wednesday, 9 April 2025","US President Donald Trump's 26% tariffs on imports from India came into full effect on Wednesday morning. Trump announced the reciprocal tariffs on April 3 at the White House as part of his 'Liberation Day' announcement event. During the announcement, Trump had called Prime Minister Narendra Modi ""a great friend"" but added that India was ""not treating us right""."
SOTC rolls out its 'Super Holiday Sale' with travel deals & discounts,Aarish, 09:57 am,"Wednesday, 9 April 2025","SOTC has announced its ‘Super Holiday Sale’ with up to ₹70,000 off per couple. Customers can avail Buy 1 Get 1 on select Asia holidays and free add-on cruises & holidays on multi-country Europe holidays. Europe Super Saver packages start at ₹1,52,900 including airfare. Additionally, customers can avail up to ₹30,000 off per couple on domestic & spiritual holidays."
Rape convict Ram Rahim released from jail again on 21-day furlough,Ankit Tiwari, 09:54 am,"Wednesday, 9 April 2025","Dera Sacha Sauda chief Gurmeet Ram Rahim, sentenced to 20 years in prison in 2017 for raping two of his disciples, walked out of jail again on Wednesday. He has been granted a 21-day furlough by the Haryana government. He was also granted a 30-day parole earlier this year just a week ahead of Delhi Assembly elections."
"Suchana, who killed 4-yr-old son, booked for assaulting woman constable in jail",Sakshita Khosla, 09:44 am,"Wednesday, 9 April 2025","Suchana Seth, the Bengaluru-based CEO of a tech consultancy who was arrested for allegedly killing her four-year-old son, was booked on Tuesday for allegedly assaulting a female constable in jail. Seth is an undertrial prisoner in a Goa jail. She allegedly abused the constable, kicked her and pulled her hair. Suchana had strangled her son in a hotel in Goa."
"Google paying AI staff to do nothing for a year, just so they don't join rivals",Pragya Swastik, 09:40 am,"Wednesday, 9 April 2025","Google is paying some AI staff to do ""nothing"" for a year to ensure they don't join any rival companies, Business Insider reported. Google DeepMind is using ""aggressive"" noncompete agreements for some AI staff in the UK, barring them from working for competitors for up to a year. This can reportedly make researchers feel left out from AI's progress."
"US abusing tariffs, India & China should stand together: China",Medhaa Gupta, 09:27 am,"Wednesday, 9 April 2025","Chinese Embassy in India spokesperson Yu Jing claimed that US' abuse of tariffs deprives countries, especially Global South, of their right to development. Adding that India and China's trade relationship is based on mutual benefit, she said, ""The two largest developing countries should stand together to overcome the difficulties."" ""Trade and tariff wars have no winners,"" she further said."
